gvkey,fyear,acominc,ap,at,capx,capxv,cogs,epsfx,gp,ib,invt,ni,oibdp,rect,sale
035013,2020,2.48,49.491,2609.459,17.401,17.401,413.006,-.22,1279.652,-128.323,0,-128.323,-16.016,563.7329999999999,1692.658
035013,2021,-2.181,17.675,3537.238,9.031000000000001,9.031000000000001,502.576,.46,2075.451,316.438,0,316.438,402.287,653.355,2578.027
035013,2022,-11.419,87.92,3862.73,28.984,28.984,645.337,-.14,2157.237,-96.047,0,-96.047,-34.688,681.532,2802.574
035014,2019,-4.653,.944,143.745,1.999,1.999,61.584,-1.69,-49.642,-43.037,0,-43.037,-49.642,9.727,11.942
035014,2020,-6.067,8.009,187.817,2.371,2.371,68.71899999999999,-1.69,-49.135,-44.082,0,-44.082,-49.135,20.657,19.584
035014,2021,-4.78,8.762,126.045,12.581,12.581,95.482,-2.3,-77.03400000000001,-75.66500000000001,0,-75.66500000000001,-77.03400000000001,21.166,18.448
035014,2022,-7.156,5.488,170.454,5.017,5.017,83.80200000000001,-.99,-69.553,-64.91500000000001,0,-64.91500000000001,-69.553,22.012,14.249
035018,2019,0,.129,12.877,.171,.171,.341,-.38,.5620000000000001,-10.878,.311,-10.878,-8.456,.078,.903
035018,2020,0,.608,9.861000000000001,.041,.041,1.947,-.1,-.057,-8.571999999999999,.385,-8.571999999999999,-9.053000000000001,.011,1.89
035018,2021,0,.241,23.461,.075,.075,4.123,-1.04,3.11,-24.745,.368,-24.745,-9.698,1.832,7.233
035019,2021,-.009,1.145,36.294,1.102,1.102,.285,-.6899999999999999,.019,-7.897,.502,-7.897,-7.554,.248,.304
035019,2022,-.009,2.029,32.764,11.048,11.048,12.412,-.73,-12.295,-12.534,1.345,-12.534,-12.295,.331,.117
035030,2019,0,3.153,136.788,0,0,6.374,-.2,4.921,-1.033,0,-1.033,,1.743,11.295
035030,2020,0,5.892,258.885,0,0,14.182,-.1,10.496,-.352,0,-.352,,3.737,24.678
035030,2021,.766,7.154,377.717,0,0,23.376,.1,16.965,2.055,0,2.055,,4.838,40.341
035030,2022,7.486,8.095000000000001,501.303,0,0,30.52,.15,23.84,3.854,0,3.854,,5.807,54.36
035035,2019,-79.69799999999999,147.347,1517.156,22.679,22.679,1494.974,1.69,1053.865,96.654,458.101,96.654,309.329,239.138,2548.839
035035,2020,-94.807,167.24,1545.816,18.182,18.182,1208.283,1.17,889.556,67.923,340.732,67.923,254.789,237.166,2097.839
035035,2021,-92.756,214.204,1533.024,10.551,10.551,1347.452,3.31,1128.464,195.423,362.957,195.423,375.537,292.893,2475.916
035035,2022,-79.66500000000001,206.262,1582.261,18.375,18.375,1474.676,4.31,1156.768,245.493,596.836,245.493,394.674,230.908,2631.444
035038,2019,0,4.394,176.732,2.548,2.548,18.652,-.84,84.618,-28.119,0,-28.119,-25.818,16.222,103.27
035038,2020,.005,4.147,160.351,2.07,2.07,18.724,-.99,82.11,-35.406,0,-35.406,-32.402,16.674,100.834
035038,2021,-.113,5.191,151.393,1.678,1.678,21.208,-.99,89.741,-36.926,0,-36.926,-34.425,19.156,110.949
035050,2020,-.068,0,1.974,0,0,0,-.8100000000000001,0,-10.862,0,-10.862,-10.155,0,0
035050,2021,-.087,0,8.188000000000001,.002,.002,0,-1.56,0,-26.953,0,-26.953,-19.532,0,0
035053,2019,0,0,305.393,0,0,0,.11,0,3.932,0,3.932,-.351,0,0
